count,country
686,United States
223,United Kingdom
156,Japan
116,South Korea
107,Canada
70,France
65,Taiwan
55,India
50,Australia
45,Mexico
45,Spain
36,China
25,Germany
25,Turkey
23,Colombia
18,Brazil
18,Thailand
15,Italy
14,Argentina
14,Russia
13,Singapore
11,Ireland
9,Denmark
9,Egypt
9,Israel
8,Belgium
8,New Zealand
8,Norway
8,Sweden
7,Lebanon
7,Malaysia
6,Netherlands
5,Czech Republic
5,Poland
5,South Africa
4,Chile
4,Hong Kong
4,Pakistan
3,Finland
3,Greece
2,Indonesia
2,Ukraine
2,West Germany
1,Austria
1,Azerbaijan
1,Croatia
1,Cuba
1,Cyprus
1,Hungary
1,Iceland
1,Jordan
1,Kuwait
1,Malta
1,Mauritius
1,Philippines
1,Saudi Arabia
1,Switzerland
1,Syria
1,United Arab Emirates
